symbol,listing_date
BSE,2017-02-03
BSHSL,2020-10-28
BSL,1995-07-27
BSOFT,1999-11-24
BTML,2023-02-15
BTTL,2026-04-20
BUILDPRO,2026-01-09
BURNPUR,2008-01-03
BUTTERFLY,2014-04-28
BVCL,2007-11-23
BYKE,2015-04-15
CALSOFT,2000-06-28
CAMLINFINE,2015-01-20
CAMPUS,2022-05-09
CAMS,2021-05-07
CANBK,2002-12-23
CANFINHOME,1995-05-10
CANHLIFE,2025-10-17
CANTABIL,2010-10-12
CAPACITE,2017-09-25
CAPILLARY,2025-11-21
CAPITALSFB,2024-02-14
CAPLIPOINT,2014-06-23
CAPTRUST,2017-01-16
CARBORUNIV,1996-04-03
CARERATING,2012-12-26
CARRARO,2024-12-30
CARTRADE,2021-08-20
CARYSIL,2021-01-14
CASTROLIND,2014-03-14
CCAVENUE,2016-04-04
CCCL,2007-10-15
CCHHL,2015-02-03
CCL,2004-06-07
CDSL,2017-06-30
CEATLTD,2008-02-01
CEIGALL,2024-08-08
CEINSYS,2026-02-19
CELEBRITY,2006-01-12
CELLO,2023-11-06
CEMPRO,1999-02-10
CENTENKA,1995-05-10
CENTEXT,2004-07-20
CENTRALBK,2007-08-21
CENTRUM,2018-04-04
CENTUM,2007-10-05
CENTURYPLY,2006-03-23
CERA,2007-11-02
CEREBRAINT,2013-06-26
CESC,1995-02-08
CEWATER,2024-12-27
CFEL,2026-08-17
CGCL,2010-10-29
CGPOWER,1995-03-01
CGVAK,2026-08-17
CHALET,2019-02-07
CHAMBLFERT,1995-06-14
CHEMBOND,2019-11-20
CHEMBONDCH,2025-07-23
CHEMCON,2020-10-01
CHEMCRUX,2026-08-17
CHEMFAB,2018-04-25
CHEMPLASTS,2021-08-24
CHENNPETRO,2000-06-07
CHEVIOT,2022-06-20
CHOICEIN,2022-04-08
CHOLAFIN,1996-05-15
CHOLAHLDNG,2017-09-25
CIEINDIA,2007-08-30
CIFL,2025-04-17
CINELINE,2012-06-13
CINEVISTA,2000-05-02
CIPLA,1995-02-08
CLCIND,2006-12-20
CLEAN,2021-07-19
CLEANMAX,2026-03-02
CLEDUCATE,2017-03-31
CLSEL,2021-05-12
CMICABLES,2016-11-29
CMLL,2026-07-24
CMPDI,2026-03-30
CMRGREEN,2026-06-10
CMSINFO,2021-12-31
CNL,2019-08-05
COALINDIA,2010-11-04
COASTCORP,2021-10-08
COCHINSHIP,2017-08-11
COCKERILL,2026-04-20
COFFEEDAY,2015-11-02
COFORGE,2004-08-30
COHANCE,2020-03-09
COLPAL,2007-12-17
COMFINTE,2026-04-20
COMPEAU,2026-08-17
COMPINFO,2016-07-07
COMPUSOFT,2012-03-02
COMSYN,2024-01-23
CONCOR,1997-05-07
CONCORDBIO,2023-08-18
CONFIPET,2019-06-13
CONSOFINVT,2005-03-29
CONTROLPR,2016-06-24
CORALFINAC,1996-03-25
CORDELIA,2026-07-01
CORDSCABLE,2008-02-13
COROMANDEL,1995-05-31
CORONA,2025-12-15
COSMOFIRST,1995-05-25
COUNCODOS,2009-01-22
CPCAP,2010-10-06
CPEDU,2025-09-05
CPL,2026-07-23
CPPLUS,2025-08-05
CRAFTSMAN,2021-03-25
CRAMC,2025-10-16
CRAVATEX,2026-08-17
CREATIVEYE,2000-12-20
CREDITACC,2018-08-23
CREST,2006-12-27
CRISIL,1995-06-28
CRIZAC,2025-07-09
CROMPTON,2016-05-13
CROWN,2022-02-08
CRSL,2026-08-17
CSBBANK,2019-12-04
CSLFINANCE,2022-07-21
CSM,2026-07-02
CTE,2007-02-07
CUB,1998-08-25
CUBEXTUB,1996-04-24
CUMMINSIND,1995-03-29
CUPID,2016-09-16
CURAA,2025-03-21
CYBERMEDIA,2005-06-10
CYBERTECH,1999-01-27
CYIENT,1998-09-30
CYIENTDLM,2023-07-10
DABUR,1999-04-28
DAICHI,2026-04-20
DALBHARAT,2019-01-22
DALMIASUG,1996-01-17
DAMCAPITAL,2024-12-27
DAMODARIND,2016-07-04
DANGEE,2020-11-13
DATAMATICS,2004-05-07
DATAPATTNS,2021-12-24
DAVANGERE,2024-01-25
DBCORP,2010-01-06
DBEIL,2024-10-28
DBL,2016-08-11
DBOL,2022-09-08
DBREALTY,2010-02-24
DBSTOCKBRO,2012-02-29
DCAL,2017-09-21
DCBBANK,2006-10-27
DCI,2022-10-19
DCM,1995-03-29
DCMFINSERV,1997-05-21
DCMNVL,2019-07-16
DCMSHRIRAM,1995-04-12
DCMSIL,2026-02-17
DCMSRIND,2021-12-24
DCW,1995-05-25
DCXINDIA,2022-11-11
DDEVPLSTIK,2025-01-15
DECCANCE,2007-08-02
DECNGOLD,2026-04-20
DEEDEV,2024-06-26
DEEP,2026-08-17
DEEPAKFERT,2003-01-17
DEEPAKNTR,2010-09-29
DEEPINDS,2021-04-27
DELHIVERY,2022-05-24
DELPHIFX,2011-06-28
DELTACORP,2007-11-02
DELTAMAGNT,1995-10-18
DEN,2009-11-24
DENORA,1997-08-07
DENTA,2025-01-29
DEVIT,2022-02-15
DEVX,2025-09-17
DEVYANI,2021-08-16
DGCONTENT,2019-06-18
DHABRIYA,2026-08-17
DHAMPURSUG,1995-03-29
DHANBANK,2004-04-01
DHANUKA,2011-06-29
DHARAN,2018-04-02
DHARMAJ,2022-12-08
DHATRE,2026-08-17
DHOOTTRANS,2026-08-17
DHRUV,2021-11-25
