as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,10,APARINDS,mid,0.2773665144117184,0.02441130866205459,3,25,28
2026-09-07,11,LLOYDSME,mid,0.1618527192297684,0.04607979402076278,20,9,29
2026-09-07,12,MARICO,mid,0.44598279840570587,0.020651639390451226,1,28,29
2026-09-07,13,UPL,mid,0.10011669412410763,0.08413033809202876,28,2,30
2026-09-07,14,TIINDIA,mid,0.1898659769574418,0.03125879851950563,12,19,31
2026-09-07,15,COFORGE,mid,0.2195811008280565,0.026074605638119162,10,21,31
2026-09-07,16,KALYANKJIL,mid,0.17213906325446643,0.031855679352641525,17,17,34
2026-09-07,17,HAVELLS,mid,0.18611111111111112,0.025284223895306324,13,22,35
2026-09-07,18,DABUR,mid,0.15589832375855828,0.033603560509040474,21,15,36
2026-09-07,19,JINDALSTEL,mid,0.08887347127562611,0.04795233293933456,30,7,37
2026-09-07,20,RADICO,mid,0.2278447823807027,0.014531826602735292,7,32,39
2026-09-07,21,PIIND,mid,0.11449062472997494,0.036963067987740364,27,13,40
2026-09-07,22,PHOENIXLTD,mid,0.13959048553212358,0.0316379047722345,22,18,40
2026-09-07,23,TATACOMM,mid,0.12710244648318042,0.03352144603500544,25,16,41
2026-09-07,24,BLUESTARCO,mid,0.17774634606317774,0.02423680712265497,15,26,41
2026-09-07,25,ITCHOTELS,mid,0.09060688714626662,0.034310706563147574,29,14,43
2026-09-07,26,MANKIND,mid,0.12113037325313993,0.02737060741500576,26,20,46
2026-09-07,27,VMM,mid,0.1324327199234124,0.02510535687569717,24,24,48
2026-09-07,28,LAURUSLABS,mid,0.1669224865694551,0.012595383328209678,18,33,51
2026-09-07,29,NYKAA,mid,0.16186915887850467,0.004484279744419483,19,34,53
2026-09-07,30,MEDANTA,mid,0.13722826086956522,0.017937360632979356,23,31,54
2026-09-07,31,NAUKRI,mid,0.027847637011421986,0.025113507107602122,33,23,56
2026-09-07,32,GODREJIND,mid,0.02774899985655313,0.021931098885476688,34,27,61
2026-09-07,33,BIOCON,mid,0.030606881494359764,0.0195641571318847,32,29,61
2026-09-07,34,KAYNES,mid,0.08320084790673025,0.018928596616620132,31,30,61
2026-09-07,1,EIDPARRY,small,0.21854412362749084,0.180449236726885,23,3,26
2026-09-07,2,SHARDAMOTR,small,0.26138032305433184,0.08850051476341952,11,16,27
2026-09-07,3,SHANTIGOLD,small,0.2371007371007371,0.08898745495630123,18,15,33
2026-09-07,4,TANLA,small,0.2377016922471468,0.08757076746365329,17,18,35
2026-09-07,5,WAAREERTL,small,0.5851851851851851,0.07011026558060585,1,37,38
2026-09-07,6,BSOFT,small,0.1847672778561354,0.13393241819533006,38,5,43
2026-09-07,7,SAKSOFT,small,0.2116788321167883,0.0872317041077279,26,19,45
2026-09-07,8,BLS,small,0.2505183137525916,0.07307452912304446,13,32,45
2026-09-07,9,JAMNAAUTO,small,0.28904227782571185,0.06601700377171409,6,44,50
2026-09-07,10,ONWARDTEC,small,0.19112627986348124,0.08449530597547171,35,20,55
2026-09-07,11,DHANUKA,small,0.1985981308411215,0.08050227581711877,32,24,56
2026-09-07,12,WANBURY,small,0.2815126050420168,0.06350130710933953,8,49,57
2026-09-07,13,SWARAJENG,small,0.5091649694501018,0.05662166921173671,2,55,57
2026-09-07,14,SENCO,small,0.1730289660464224,0.10388085858662242,47,11,58
2026-09-07,15,ZENSARTECH,small,0.17194664443518132,0.09761819359128371,48,12,60
2026-09-07,16,AUTOAXLES,small,0.18059299191374664,0.08401037206478866,40,21,61
2026-09-07,17,RSYSTEMS,small,0.2006661115736886,0.07128214781012639,31,35,66
2026-09-07,18,NIITMTS,small,0.15905427189682966,0.10463651456458549,63,10,73
2026-09-07,19,ECLERX,small,0.2979300984051578,0.05029001580617081,4,69,73
2026-09-07,20,MBEL,small,0.17139001349527666,0.07877468880819839,50,25,75
2026-09-07,21,SKIPPER,small,0.20437654830718416,0.06404516935436283,29,48,77
2026-09-07,22,CEATLTD,small,0.16434238999759557,0.08262536837571671,57,22,79
2026-09-07,23,QUESS,small,0.21920991479473276,0.05499261143073423,22,59,81
2026-09-07,24,KERNEX,small,0.348780487804878,0.045613090489226515,3,82,85
2026-09-07,25,MASTEK,small,0.14956268221574345,0.09413969435249771,73,14,87
2026-09-07,26,INTERARCH,small,0.18909899888765294,0.05994820331639884,36,52,88
2026-09-07,27,NEWGEN,small,0.20319383259911894,0.055188497985944024,30,58,88
2026-09-07,28,DBCORP,small,0.14492753623188406,0.1061153904808183,80,9,89
2026-09-07,29,ARVINDFASN,small,0.18859649122807018,0.05965617024697969,37,53,90
2026-09-07,30,BORORENEW,small,0.20621637776449492,0.05042486940801371,27,68,95
2026-09-07,31,GESHIP,small,0.1251592886032467,0.12323135812035603,93,6,99
2026-09-07,32,THOMASCOTT,small,0.16304347826086957,0.0694972273659603,60,39,99
2026-09-07,33,UNIPARTS,small,0.19707317073170733,0.05026188212680691,33,70,103
2026-09-07,34,NATCOPHARM,small,0.123704076497232,0.09544952596147868,96,13,109
2026-09-07,35,KANPRPLA,small,0.13910761154855644,0.07628755436988341,82,29,111
2026-09-07,36,ALIVUS,small,0.21333726763056948,0.04427779414352749,24,87,111
2026-09-07,37,PARADEEP,small,0.13185769596026006,0.07750925210983962,90,26,116
2026-09-07,38,SWSOLAR,small,0.1645844649646931,0.054945534339841486,56,60,116
2026-09-07,39,ARIS,small,0.11990111248454882,0.08792445051210236,100,17,117
2026-09-07,40,EPL,small,0.1517927244176917,0.06508217657143983,71,46,117
2026-09-07,41,FSL,small,0.16027922255680263,0.056481925790217505,62,56,118
2026-09-07,42,AWL,small,0.14562770562770563,0.06908150424556368,79,40,119
2026-09-07,43,ACE,small,0.23229321446260526,0.039164325448931184,20,99,119
2026-09-07,44,RPTECH,small,0.14660033167495853,0.06638563887724462,78,42,120
2026-09-07,45,SURYAROSNI,small,0.1315886472539624,0.0747362216702505,91,30,121
2026-09-07,46,BHARATWIRE,small,0.12076749435665914,0.08148694762254328,99,23,122
2026-09-07,47,TRAVELFOOD,small,0.2956161137440758,0.031088973973574748,5,121,126
2026-09-07,48,KAJARIACER,small,0.21250758955676988,0.036139647050637644,25,104,129
2026-09-07,49,TATAELXSI,small,0.23533083645443195,0.03435368253496244,19,110,129
2026-09-07,50,IKS,small,0.27019420208274697,0.0316090676061043,10,119,129
2026-09-07,51,GODREJAGRO,small,0.17609539656128675,0.04451773550125149,44,86,130
2026-09-07,52,PENIND,small,0.11655913978494624,0.07700631780950633,105,28,133
2026-09-07,53,EMCURE,small,0.205686910832947,0.034978219046235985,28,106,134
2026-09-07,54,DJML,small,0.13846153846153847,0.06014704390296541,84,51,135
2026-09-07,55,AJANTPHARM,small,0.2772091080008356,0.030451421864773447,9,126,135
2026-09-07,56,TCI,small,0.136158388329281,0.06065457482378019,86,50,136
2026-09-07,57,DUCON,small,0.0962962962962963,0.16438874569211884,133,4,137
2026-09-07,58,SSWL,small,0.1420432966198253,0.056179326697971085,81,57,138
2026-09-07,59,CERA,small,0.1836734693877551,0.03851699552457375,39,100,139
2026-09-07,60,ROSSARI,small,0.11701526286037309,0.07104075902783634,104,36,140
2026-09-07,61,VAIBHAVGBL,small,0.12506059137178865,0.06420218377231045,94,47,141
2026-09-07,62,KSL,small,0.11782945736434108,0.0663215779921715,103,43,146
2026-09-07,63,MANAKCOAT,small,0.14822546972860126,0.049934187724456215,75,71,146
2026-09-07,64,SJS,small,0.24354657687991021,0.029662809829472978,15,132,147
2026-09-07,65,RPPL,small,0.09210526315789473,0.1101767919201785,142,8,150
2026-09-07,66,ADVENZYMES,small,0.1141826923076923,0.06898516590581014,111,41,152
2026-09-07,67,SIS,small,0.11580161476355248,0.06583998311809097,108,45,153
2026-09-07,68,INDIGOPNTS,small,0.16595744680851063,0.03649017210963672,53,102,155
2026-09-07,69,SCPL,small,0.15458937198067632,0.04337204137410223,70,89,159
2026-09-07,70,PGIL,small,0.16521015397419891,0.03503004359943791,54,105,159
2026-09-07,71,REGAAL,small,0.10054347826086957,0.07293064673561615,128,33,161
2026-09-07,72,CLEAN,small,0.17528373266078184,0.03243256573176818,46,115,161
2026-09-07,73,UFO,small,0.08353221957040573,0.11165751844942987,156,7,163
2026-09-07,74,CROWN,small,0.100436035769714,0.0725046841787465,129,34,163
2026-09-07,75,KIRLOSIND,small,0.08190709046454768,0.9750746842174002,163,1,164
2026-09-07,76,TRITURBINE,small,0.2822417285617826,0.02346669979258945,7,158,165
2026-09-07,77,ARVIND,small,0.135343618513324,0.04768734100366431,87,79,166
2026-09-07,78,CCL,small,0.15862632869991825,0.036481662285623724,64,103,167
2026-09-07,79,DIGITIDE,small,0.09715120525931337,0.07004810528445087,132,38,170
2026-09-07,80,JAGSNPHARM,small,0.17192982456140352,0.030919155835352895,49,122,171
2026-09-07,81,BLUEJET,small,0.1924447612259444,0.02794148903789875,34,138,172
2026-09-07,82,INDGN,small,0.15016752969844654,0.03658131716594249,72,101,173
2026-09-07,83,RAMCOSYS,small,0.1760204081632653,0.029829397929899814,45,129,174
2026-09-07,84,GARFIBRES,small,0.16666666666666666,0.03087384647029839,52,123,175
2026-09-07,85,CAMPUS,small,0.1786339754816112,0.029465481489724353,41,134,175
2026-09-07,86,KANSAINER,small,0.1064709236031927,0.054721450158198195,119,61,180
2026-09-07,87,SHYAMMETL,small,0.11582056194125159,0.049109390045258196,107,75,182
2026-09-07,88,ERIS,small,0.13414244650271478,0.04067877818440399,88,97,185
2026-09-07,89,AEROENTER,small,0.10368663594470046,0.05099180135075397,122,66,188
2026-09-07,90,GLOBUSSPR,small,0.1012970969734404,0.05249711402703494,126,63,189
2026-09-07,91,VGUARD,small,0.16509062253743104,0.02906127604590651,55,135,190
2026-09-07,92,LALPATHLAB,small,0.22940524565940154,0.019693339974966764,21,170,191
2026-09-07,93,CYIENT,small,0.1015867822672992,0.050953365133542906,125,67,192
2026-09-07,94,PLATIND,small,0.11920529801324503,0.04198737743099087,101,92,193
2026-09-07,95,PICCADIL,small,0.14675052410901468,0.03205017429909949,77,116,193
2026-09-07,96,TCIEXP,small,0.11224489795918367,0.04832600082596926,116,78,194
2026-09-07,97,KIRLOSENG,small,0.1378543635352974,0.03389676818556999,85,113,198
2026-09-07,98,THEJO,small,0.16414141414141414,0.027262047869377186,58,140,198
2026-09-07,99,CENTUM,small,0.2462526766595289,0.01749054562350825,14,186,200
2026-09-07,100,RGL,small,0.07534883720930233,0.0745734515415928,170,31,201
2026-09-07,101,DCMSHRIRAM,small,0.09355020684467845,0.053941470795813226,140,62,202
2026-09-07,102,SPCENET,small,0.06435643564356436,0.07732847361882168,176,27,203
2026-09-07,103,HSCL,small,0.16325785244704163,0.02656746315440107,59,144,203
2026-09-07,104,VIYASH,small,0.12319905910026463,0.03464685406573034,98,109,207
2026-09-07,105,SAFARI,small,0.16246953696181965,0.026182102432498626,61,146,207
2026-09-07,106,INOXINDIA,small,0.25771476230191825,0.015394244652617722,12,195,207
2026-09-07,107,INTELLECT,small,0.11268028846153846,0.04121593001878547,115,93,208
