rebalance_date,symbol,weight
2020-06-01,PHOENIXLTD,0.01
2020-06-01,PIDILITIND,0.01
2020-06-01,POLYCAB,0.01
2020-06-01,PRESTIGE,0.01
2020-06-01,RELIANCE,0.01
2020-06-01,RITES,0.01
2020-06-01,RVNL,0.01
2020-06-01,SAIL,0.01
2020-06-01,SAKSOFT,0.01
2020-06-01,SESHAPAPER,0.01
2020-06-01,SHARDAMOTR,0.01
2020-06-01,SOLARINDS,0.01
2020-06-01,SONATSOFTW,0.01
2020-06-01,SPLIL,0.01
2020-06-01,SRF,0.01
2020-06-01,TATASTEEL,0.01
2020-06-01,THYROCARE,0.01
2020-06-01,TIINDIA,0.01
2020-06-01,TITAN,0.01
2020-06-01,TORNTPHARM,0.01
2020-06-01,TTKPRESTIG,0.01
2020-06-01,TVSMOTOR,0.01
2020-06-01,TVTODAY,0.01
2020-06-01,ULTRACEMCO,0.01
2020-06-01,VAIBHAVGBL,0.01
2020-06-01,VBL,0.01
2020-06-01,VEDL,0.01
2020-06-01,WELCORP,0.01
2020-06-01,WIPRO,0.01
2020-06-01,WSTCSTPAPR,0.01
2020-06-01,ZEEMEDIA,0.01
2021-06-01,ABBOTINDIA,0.009433962264150943
2021-06-01,ADANIPORTS,0.009433962264150943
2021-06-01,AMBUJACEM,0.009433962264150943
2021-06-01,APARINDS,0.009433962264150943
2021-06-01,APLAPOLLO,0.009433962264150943
2021-06-01,ASIANPAINT,0.009433962264150943
2021-06-01,AUROPHARMA,0.009433962264150943
2021-06-01,BAJAJ-AUTO,0.009433962264150943
2021-06-01,BALAXI,0.009433962264150943
2021-06-01,BALKRISIND,0.009433962264150943
2021-06-01,BBTC,0.009433962264150943
2021-06-01,BEL,0.009433962264150943
2021-06-01,BEPL,0.009433962264150943
2021-06-01,BERGEPAINT,0.009433962264150943
2021-06-01,BHARATRAS,0.009433962264150943
2021-06-01,BHARTIARTL,0.009433962264150943
2021-06-01,BOSCHLTD,0.009433962264150943
2021-06-01,BPCL,0.009433962264150943
2021-06-01,BRITANNIA,0.009433962264150943
2021-06-01,COALINDIA,0.009433962264150943
2021-06-01,COFORGE,0.009433962264150943
2021-06-01,COROMANDEL,0.009433962264150943
2021-06-01,DIVISLAB,0.009433962264150943
2021-06-01,DLF,0.009433962264150943
2021-06-01,DMART,0.009433962264150943
2021-06-01,DRREDDY,0.009433962264150943
2021-06-01,EASEMYTRIP,0.009433962264150943
2021-06-01,ECLERX,0.009433962264150943
2021-06-01,EICHERMOT,0.009433962264150943
2021-06-01,EIDPARRY,0.009433962264150943
2021-06-01,ESCORTS,0.009433962264150943
2021-06-01,FACT,0.009433962264150943
2021-06-01,FCL,0.009433962264150943
2021-06-01,GAEL,0.009433962264150943
2021-06-01,GAIL,0.009433962264150943
2021-06-01,GARFIBRES,0.009433962264150943
2021-06-01,GLAXO,0.009433962264150943
2021-06-01,GLOBUSSPR,0.009433962264150943
2021-06-01,GODFRYPHLP,0.009433962264150943
2021-06-01,GRASIM,0.009433962264150943
2021-06-01,GROBTEA,0.009433962264150943
2021-06-01,GTPL,0.009433962264150943
2021-06-01,HAL,0.009433962264150943
2021-06-01,HAVELLS,0.009433962264150943
2021-06-01,HCLTECH,0.009433962264150943
2021-06-01,HERITGFOOD,0.009433962264150943
2021-06-01,HEROMOTOCO,0.009433962264150943
2021-06-01,HINDPETRO,0.009433962264150943
2021-06-01,HINDZINC,0.009433962264150943
2021-06-01,INDUSTOWER,0.009433962264150943
2021-06-01,INFY,0.009433962264150943
2021-06-01,IOC,0.009433962264150943
2021-06-01,IPCALAB,0.009433962264150943
2021-06-01,ITC,0.009433962264150943
2021-06-01,JINDALPOLY,0.009433962264150943
2021-06-01,JINDALSTEL,0.009433962264150943
2021-06-01,JKCEMENT,0.009433962264150943
2021-06-01,JSL,0.009433962264150943
2021-06-01,JSWSTEEL,0.009433962264150943
2021-06-01,JUBLFOOD,0.009433962264150943
2021-06-01,KPRMILL,0.009433962264150943
2021-06-01,LAURUSLABS,0.009433962264150943
2021-06-01,LT,0.009433962264150943
2021-06-01,M&M,0.009433962264150943
2021-06-01,MANALIPETC,0.009433962264150943
2021-06-01,MPHASIS,0.009433962264150943
2021-06-01,MRF,0.009433962264150943
2021-06-01,NATIONALUM,0.009433962264150943
2021-06-01,NCLIND,0.009433962264150943
2021-06-01,NDTV,0.009433962264150943
2021-06-01,NMDC,0.009433962264150943
2021-06-01,OIL,0.009433962264150943
2021-06-01,PAGEIND,0.009433962264150943
2021-06-01,PANAMAPET,0.009433962264150943
2021-06-01,PERSISTENT,0.009433962264150943
2021-06-01,PETRONET,0.009433962264150943
2021-06-01,PIDILITIND,0.009433962264150943
2021-06-01,POLYPLEX,0.009433962264150943
2021-06-01,PRESTIGE,0.009433962264150943
2021-06-01,RAJRATAN,0.009433962264150943
2021-06-01,REDINGTON,0.009433962264150943
2021-06-01,RITES,0.009433962264150943
2021-06-01,RVNL,0.009433962264150943
2021-06-01,SAIL,0.009433962264150943
2021-06-01,SAKSOFT,0.009433962264150943
2021-06-01,SAREGAMA,0.009433962264150943
2021-06-01,SHAKTIPUMP,0.009433962264150943
2021-06-01,SHREECEM,0.009433962264150943
2021-06-01,SOLARINDS,0.009433962264150943
2021-06-01,SOTL,0.009433962264150943
2021-06-01,SRF,0.009433962264150943
2021-06-01,SUPREMEIND,0.009433962264150943
2021-06-01,TATACOMM,0.009433962264150943
2021-06-01,TATASTEEL,0.009433962264150943
2021-06-01,TCS,0.009433962264150943
2021-06-01,TECHM,0.009433962264150943
2021-06-01,THANGAMAYL,0.009433962264150943
2021-06-01,TITAN,0.009433962264150943
2021-06-01,TORNTPHARM,0.009433962264150943
2021-06-01,TTKPRESTIG,0.009433962264150943
2021-06-01,TVSMOTOR,0.009433962264150943
2021-06-01,ULTRACEMCO,0.009433962264150943
2021-06-01,UNIVASTU,0.009433962264150943
2021-06-01,VEDL,0.009433962264150943
2021-06-01,VISAKAIND,0.009433962264150943
2021-06-01,WIPRO,0.009433962264150943
2022-06-01,ABBOTINDIA,0.00909090909090909
2022-06-01,ADANIPORTS,0.00909090909090909
2022-06-01,AMBIKCO,0.00909090909090909
2022-06-01,AMBUJACEM,0.00909090909090909
2022-06-01,APARINDS,0.00909090909090909
2022-06-01,APLAPOLLO,0.00909090909090909
2022-06-01,ASHOKA,0.00909090909090909
2022-06-01,ASIANPAINT,0.00909090909090909
2022-06-01,BAJAJ-AUTO,0.00909090909090909
2022-06-01,BALAXI,0.00909090909090909
2022-06-01,BANCOINDIA,0.00909090909090909
2022-06-01,BDL,0.00909090909090909
2022-06-01,BEL,0.00909090909090909
2022-06-01,BEPL,0.00909090909090909
2022-06-01,BERGEPAINT,0.00909090909090909
2022-06-01,BHARTIARTL,0.00909090909090909
2022-06-01,BLUESTARCO,0.00909090909090909
2022-06-01,BOSCHLTD,0.00909090909090909
2022-06-01,BPCL,0.00909090909090909
2022-06-01,BRITANNIA,0.00909090909090909
2022-06-01,COALINDIA,0.00909090909090909
2022-06-01,COFORGE,0.00909090909090909
2022-06-01,COLPAL,0.00909090909090909
2022-06-01,COROMANDEL,0.00909090909090909
2022-06-01,DCMNVL,0.00909090909090909
2022-06-01,DGCONTENT,0.00909090909090909
2022-06-01,DISHTV,0.00909090909090909
2022-06-01,DIVISLAB,0.00909090909090909
2022-06-01,DLF,0.00909090909090909
2022-06-01,DMART,0.00909090909090909
2022-06-01,DRREDDY,0.00909090909090909
2022-06-01,EASEMYTRIP,0.00909090909090909
2022-06-01,ECLERX,0.00909090909090909
2022-06-01,EICHERMOT,0.00909090909090909
2022-06-01,EIDPARRY,0.00909090909090909
2022-06-01,FACT,0.00909090909090909
2022-06-01,FCL,0.00909090909090909
2022-06-01,GAIL,0.00909090909090909
2022-06-01,GLENMARK,0.00909090909090909
2022-06-01,GLOBAL,0.00909090909090909
2022-06-01,GNFC,0.00909090909090909
2022-06-01,GODFRYPHLP,0.00909090909090909
2022-06-01,GRASIM,0.00909090909090909
2022-06-01,HAL,0.00909090909090909
2022-06-01,HAVELLS,0.00909090909090909
2022-06-01,HCC,0.00909090909090909
2022-06-01,HCLTECH,0.00909090909090909
2022-06-01,HEROMOTOCO,0.00909090909090909
2022-06-01,HINDPETRO,0.00909090909090909
2022-06-01,HINDUNILVR,0.00909090909090909
2022-06-01,HINDZINC,0.00909090909090909
2022-06-01,INDUSTOWER,0.00909090909090909
2022-06-01,INFY,0.00909090909090909
2022-06-01,IOC,0.00909090909090909
2022-06-01,ITC,0.00909090909090909
2022-06-01,JINDALSTEL,0.00909090909090909
2022-06-01,JKCEMENT,0.00909090909090909
2022-06-01,JSL,0.00909090909090909
2022-06-01,JSWSTEEL,0.00909090909090909
2022-06-01,KALYANKJIL,0.00909090909090909
2022-06-01,KPRMILL,0.00909090909090909
2022-06-01,LAURUSLABS,0.00909090909090909
2022-06-01,LIKHITHA,0.00909090909090909
2022-06-01,LODHA,0.00909090909090909
2022-06-01,LT,0.00909090909090909
2022-06-01,LTTS,0.00909090909090909
2022-06-01,M&M,0.00909090909090909
2022-06-01,MAITHANALL,0.00909090909090909
2022-06-01,MANALIPETC,0.00909090909090909
2022-06-01,MARICO,0.00909090909090909
2022-06-01,MPHASIS,0.00909090909090909
2022-06-01,NAHARSPING,0.00909090909090909
2022-06-01,NATIONALUM,0.00909090909090909
2022-06-01,NITINSPIN,0.00909090909090909
2022-06-01,NMDC,0.00909090909090909
2022-06-01,OIL,0.00909090909090909
2022-06-01,PAGEIND,0.00909090909090909
2022-06-01,PANAMAPET,0.00909090909090909
2022-06-01,PERSISTENT,0.00909090909090909
2022-06-01,PETRONET,0.00909090909090909
2022-06-01,PGHH,0.00909090909090909
2022-06-01,PIDILITIND,0.00909090909090909
2022-06-01,REDINGTON,0.00909090909090909
2022-06-01,RELIANCE,0.00909090909090909
2022-06-01,RITES,0.00909090909090909
2022-06-01,ROLEXRINGS,0.00909090909090909
2022-06-01,RVNL,0.00909090909090909
2022-06-01,SHAHALLOYS,0.00909090909090909
2022-06-01,SHIVAMILLS,0.00909090909090909
2022-06-01,SHREECEM,0.00909090909090909
2022-06-01,SHYAMMETL,0.00909090909090909
2022-06-01,SIL,0.00909090909090909
2022-06-01,SMLT,0.00909090909090909
2022-06-01,SOLARINDS,0.00909090909090909
2022-06-01,SSWL,0.00909090909090909
2022-06-01,SUPREMEIND,0.00909090909090909
2022-06-01,TATACOMM,0.00909090909090909
2022-06-01,TATASTEEL,0.00909090909090909
2022-06-01,TCS,0.00909090909090909
2022-06-01,TECHM,0.00909090909090909
2022-06-01,THEMISMED,0.00909090909090909
2022-06-01,THYROCARE,0.00909090909090909
2022-06-01,TIINDIA,0.00909090909090909
2022-06-01,TITAN,0.00909090909090909
2022-06-01,TNPETRO,0.00909090909090909
2022-06-01,TORNTPHARM,0.00909090909090909
2022-06-01,ULTRACEMCO,0.00909090909090909
2022-06-01,VBL,0.00909090909090909
2022-06-01,VEDL,0.00909090909090909
2022-06-01,WIPRO,0.00909090909090909
2023-06-01,3MINDIA,0.008928571428571428
2023-06-01,ABBOTINDIA,0.008928571428571428
2023-06-01,ADVANIHOTR,0.008928571428571428
2023-06-01,ALLCARGO,0.008928571428571428
2023-06-01,AMBUJACEM,0.008928571428571428
2023-06-01,APARINDS,0.008928571428571428
2023-06-01,ASHOKA,0.008928571428571428
2023-06-01,ASIANPAINT,0.008928571428571428
2023-06-01,BAJAJ-AUTO,0.008928571428571428
2023-06-01,BALAXI,0.008928571428571428
2023-06-01,BANCOINDIA,0.008928571428571428
2023-06-01,BCG,0.008928571428571428
2023-06-01,BEL,0.008928571428571428
2023-06-01,BERGEPAINT,0.008928571428571428
2023-06-01,BHARTIARTL,0.008928571428571428
2023-06-01,BLUESTARCO,0.008928571428571428
2023-06-01,BOSCHLTD,0.008928571428571428
2023-06-01,BPCL,0.008928571428571428
2023-06-01,BRITANNIA,0.008928571428571428
